127.0.0.1, 2018-01-16 15:24:29, GET, /employee/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000646
127.0.0.1, 2018-01-16 15:24:29, GET, /employee/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000643
127.0.0.1, 2018-01-16 15:24:29, GET, /employee/static/js/jquery.js, HTTP/1.1, 200, 0.000630
127.0.0.1, 2018-01-16 15:24:29, GET, /employee/static/css/calendar.css, HTTP/1.1, 200, 0.000643
127.0.0.1, 2018-01-16 15:24:29, GET, /employee/static/js/calendar.js, HTTP/1.1, 200, 0.000627
127.0.0.1, 2018-01-16 15:24:29, GET, /employee/static/js/web2py.js, HTTP/1.1, 200, 0.000634
127.0.0.1, 2018-01-16 15:24:29, GET, /employee/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000633
127.0.0.1, 2018-01-16 15:24:29, GET, /employee/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000640
127.0.0.1, 2018-01-16 15:24:29, GET, /employee/static/js/share.js, HTTP/1.1, 200, 0.000638
127.0.0.1, 2018-01-16 15:24:31, GET, /employee/static/images/favicon.ico, HTTP/1.1, 200, 0.000636
127.0.0.1, 2018-01-16 15:24:31, GET, /employee/static/images/twitter.png, HTTP/1.1, 200, 0.000632
127.0.0.1, 2018-01-16 15:24:31, GET, /employee/static/images/facebook.png, HTTP/1.1, 200, 0.000633
127.0.0.1, 2018-01-16 15:24:31, GET, /employee/static/images/gplus-32.png, HTTP/1.1, 200, 0.000630
127.0.0.1, 2018-01-16 15:24:31, GET, /employee/appadmin/hooks, HTTP/1.1, 200, 0.273278
127.0.0.1, 2018-01-16 15:24:33, GET, /employee/appadmin/insert/db/employee, HTTP/1.1, 200, 0.212669
127.0.0.1, 2018-01-16 15:24:46, POST, /employee/appadmin/insert/db/employee, HTTP/1.1, 200, 0.188323
127.0.0.1, 2018-01-16 15:24:50, GET, /employee/appadmin/select/db, HTTP/1.1, 200, 0.132988
127.0.0.1, 2018-01-16 15:29:54, GET, /employee/appadmin/select/db, HTTP/1.1, 200, 1.031463
127.0.0.1, 2018-01-16 15:30:20, GET, /employee/appadmin/select/db, HTTP/1.1, 200, 0.212315
